catchment_id,replicate,NSE_cal,logNSE_cal,KGE_cal,NSE_val,logNSE_val,KGE_val,parBETA,parFC,parK0,parK1,parK2,parLP,parPERC,parUZL,parTT,parCFMAX,parCFR,parCWH,paralpha,parbeta,parprecip_corr_factor
54080,6,0.749532947,0.475433508,0.833815039,0.784069482,0.084870588,0.855101557,1.694550227,317.0216868,0.843059825,0.395359556,0.085441112,0.74480815,4.912354955,17.417934,0.517476716,0.679195917,0.095408058,0.058886061,0.854509511,1.610906926,1.002116224
54095,2,0.835162482,0.665852452,0.865080241,0.697980322,0.012786922,0.845013668,1.142020389,196.6632963,0.370249581,0.442742529,0.193997477,0.370884268,1.580336469,34.4931981,3.55898635,3.323725204,0.065201722,0.140887006,1.089089095,4.259453896,1.029793418
54096,4,0.55274732,-0.272699386,0.675554277,0.524430331,-1.896527465,0.605769266,2.145092227,556.9980317,0.169365724,0.455507248,0.109315221,0.353504115,1.146965566,13.91469944,1.903453134,0.99837611,0.076757324,0.186235514,0.003324085,4.006750049,1.03856647
55002,9,0.810732756,0.641552644,0.86516841,0.657941667,-0.26934591,0.806621302,2.318741278,192.4888501,0.495064087,0.447504956,0.173943175,0.50899626,4.465552513,43.96943659,4.01628366,4.43598506,0.059997992,0.026260155,2.049348799,1.105984154,1.063994972
55007,1,0.792471426,0.676074386,0.856543712,0.774629256,0.030003565,0.877686041,3.056205033,284.51021,0.540808553,0.107054444,0.064933294,0.236169692,1.254447484,7.163200736,2.730525598,4.325971328,0.089895772,0.144221492,0.176691381,5.963110605,1.037304612
55013,10,0.825961766,0.752947003,0.864069975,0.829883838,0.241909064,0.896613744,1.692314292,236.8565641,0.883531049,0.307839107,0.057573284,0.459308825,2.040628983,5.075702862,1.352505821,1.556967791,0.003572435,0.048772146,0.814084829,5.458732911,1.0722571
55014,10,0.779169991,0.586534489,0.881455173,0.882577339,-0.09910974,0.905995062,2.31418759,306.4313123,0.859268895,0.226919958,0.054966269,0.283601702,2.30668471,27.45558011,1.250866096,4.805414366,0.006782661,0.06572311,1.973226248,0.985287565,1.061534142
55016,4,0.826654971,0.746419473,0.857256137,0.838100128,0.469170018,0.877211322,1.878571585,174.3346752,0.832746406,0.176872127,0.075301968,0.680445801,2.018803997,3.116036491,0.454832971,4.641064242,0.098086436,0.183411764,1.824998819,0.850395655,1.054647263
55018,4,0.509340005,0.063757348,0.624175543,0.549294562,-0.861381863,0.678705983,2.099241614,593.3345073,0.389605969,0.233125649,0.034793734,0.277785056,0.575332767,22.45752514,0.346654822,4.550725666,0.060694653,0.034184706,1.472551413,0.423163597,1.07979941
55021,9,0.796270002,0.73867137,0.807151317,0.809731782,0.242025139,0.697280667,1.951011852,117.0849034,0.23258888,0.199097479,0.025749098,0.571914201,2.751293469,81.35187625,0.155727159,2.610904437,0.019034532,0.122915938,0.592032665,2.713299832,1.012109483
55023,6,0.807990858,0.634496867,0.874145678,0.756243229,-0.216251706,0.856386528,2.847197624,309.2516981,0.560763879,0.255104009,0.092164822,0.802684009,2.529287859,78.54605148,3.519597921,3.29861966,0.056759572,0.180960525,1.995558411,0.784563849,1.037609745
55025,9,0.775465508,0.674836069,0.870649569,0.780193185,-0.001715819,0.870627518,4.223923544,132.7907501,0.472970196,0.216077216,0.018584161,0.39023149,2.646081175,28.30414955,3.276840416,0.924012462,0.021700826,0.059544512,0.002663272,5.237600056,1.013306384
55026,10,0.82723102,0.806902294,0.87448443,0.770665772,0.414027926,0.822576563,4.25091981,123.2478826,0.418821466,0.084932272,0.10658651,0.842233834,1.45994299,19.17341712,1.95888109,4.879203183,0.04951831,0.072054916,0.722098042,0.709346491,1.103252201
55029,8,0.755168417,0.727588994,0.72794963,0.696262189,0.263523786,0.728909994,1.244894826,210.4337908,0.989597226,0.236824659,0.053746171,0.222492111,4.312215815,18.71747889,2.638936364,4.767467392,0.079489202,0.165577368,0.894485157,1.087658258,1.107565551
55032,7,0.49670767,-0.297264547,0.353468632,0.556349426,-0.57809101,0.379450673,3.946845921,180.9067485,0.597533937,0.108996227,0.04469287,0.627601958,1.154497654,37.92046003,1.87073042,4.267676256,0.051488819,0.088464201,1.45709768,0.566709199,1.005146622
56001,2,0.822587451,0.709461949,0.850957508,0.81130523,0.152143444,0.8269459,1.127920523,375.955726,0.988583483,0.167983582,0.116739766,0.781473093,3.259181623,5.1007235,0.718028894,0.671038986,0.047884093,0.186042618,2.733080217,0.741491934,1.014159355
56002,9,0.832563514,0.770917509,0.832017977,0.648790185,-0.010910531,0.735025457,2.08043296,184.7007039,0.419993351,0.242573956,0.053934802,0.881385003,4.827640326,93.51802972,3.974279081,4.954726403,0.029486087,0.045079384,1.545170085,0.088858952,1.115026573
56007,3,0.851296245,0.825545387,0.918599356,0.803617298,0.415334593,0.896025721,3.21630971,176.2149722,0.581106051,0.250748281,0.082288765,0.771154455,4.616456187,14.78138437,1.943678395,2.44213097,0.02455813,0.159606261,1.962620021,0.063368055,1.019675459
